127.0.0.1 - - [30/Aug/2025:01:10:03 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:03 +0530] "GET /Hospital_Management_System/servlet/com.Doctor.servlet.Doctor_Login HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:03 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:07 +0530] "GET /Hospital_Management_System HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:08 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23504
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:11 +0530] "GET /Hospital_Management_System/Doctor.jsp HTTP/1.1" 200 8419
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:16 +0530] "POST /Hospital_Management_System/doctorLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:17 +0530] "GET /Hospital_Management_System/Doctor/Dashboard.jsp HTTP/1.1" 500 2456
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:32 +0530] "GET /Hospital_Management_System/Doctor/Dashboard.jsp HTTP/1.1" 500 2456
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:33 +0530] "GET /Hospital_Management_System/Doctor/Dashboard.jsp HTTP/1.1" 500 2883
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:33 +0530] "GET /Hospital_Management_System/Doctor/Dashboard.jsp HTTP/1.1" 500 2883
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:33 +0530] "GET /Hospital_Management_System/Doctor/Dashboard.jsp HTTP/1.1" 500 2883
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:33 +0530] "GET /Hospital_Management_System/Doctor/Dashboard.jsp HTTP/1.1" 500 2883
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:35 +0530] "POST /Hospital_Management_System/doctorLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:35 +0530] "GET /Hospital_Management_System/Doctor/Dashboard.jsp HTTP/1.1" 500 2883
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:37 +0530] "GET /Hospital_Management_System/Doctor.jsp HTTP/1.1" 200 8419
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:42 +0530] "POST /Hospital_Management_System/doctorLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:10:43 +0530] "GET /Hospital_Management_System/Doctor/Dashboard.jsp HTTP/1.1" 200 14399
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:11:41 +0530] "GET /Hospital_Management_System/Doctor/doctor_dashboard.jsp HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:20:22 +0530] "GET /Hospital_Management_System/doctorLogout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:20:22 +0530] "GET /Hospital_Management_System/Doctor.jsp HTTP/1.1" 200 8419
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:20:25 +0530] "GET /Hospital_Management_System/User.jsp HTTP/1.1" 200 9362
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:20:36 +0530] "POST /Hospital_Management_System/UserLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2025:01:20:36 +0530] "GET /Hospital_Management_System/User/User_index.jsp HTTP/1.1" 200 25981
