127.0.0.1 - - [22/Jul/2025:02:40:12 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [22/Jul/2025:02:40:13 +0530] "GET /Hospital_Management_System/admin/navbar.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [22/Jul/2025:02:40:22 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23542
0:0:0:0:0:0:0:1 - - [22/Jul/2025:02:40:24 +0530] "GET /Hospital_Management_System/Admin.jsp HTTP/1.1" 200 6251
0:0:0:0:0:0:0:1 - - [22/Jul/2025:02:40:29 +0530] "POST /Hospital_Management_System/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:02:40:29 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 16337
0:0:0:0:0:0:0:1 - - [22/Jul/2025:02:40:43 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 23542
0:0:0:0:0:0:0:1 - - [22/Jul/2025:02:40:48 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 23542
0:0:0:0:0:0:0:1 - - [22/Jul/2025:02:50:14 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [22/Jul/2025:02:51:00 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 16294
0:0:0:0:0:0:0:1 - - [22/Jul/2025:02:51:00 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [22/Jul/2025:02:51:00 +0530] "GET /Hospital_Management_System/assets/logo.png HTTP/1.1" 200 1139917
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:06:42 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 16330
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:06:42 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:06:42 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:06:43 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 16330
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:06:43 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:06:44 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 16330
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:06:44 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:06:45 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 16330
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:06:45 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:07:01 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 23542
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:07:01 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:07:01 +0530] "GET /Hospital_Management_System/assets/doctor_4.jpeg HTTP/1.1" 200 1252174
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:07:01 +0530] "GET /Hospital_Management_System/assets/doctor_2.jpeg HTTP/1.1" 200 1460306
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:07:01 +0530] "GET /Hospital_Management_System/assets/doctor_3.jpeg HTTP/1.1" 200 2156893
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:07:01 +0530] "GET /Hospital_Management_System/assets/doctor_1.jpeg HTTP/1.1" 200 2390529
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:07:34 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:07:34 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:07:39 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 16330
0:0:0:0:0:0:0:1 - - [22/Jul/2025:03:07:39 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
