127.0.0.1 - - [17/Aug/2025:03:18:52 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:18:52 +0530] "GET /Hospital_Management_System/servlet/com.user.servlet.UserLogin HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:18:52 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:18:57 +0530] "GET /Hospital_Management_System HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:18:58 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:18:58 +0530] "GET /Hospital_Management_System/assets/doctor_4.jpeg HTTP/1.1" 200 1252174
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:18:58 +0530] "GET /Hospital_Management_System/assets/doctor_2.jpeg HTTP/1.1" 200 1460306
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:18:58 +0530] "GET /Hospital_Management_System/assets/doctor_1.jpeg HTTP/1.1" 200 2390529
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:18:58 +0530] "GET /Hospital_Management_System/assets/logo.png HTTP/1.1" 200 1139917
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:18:58 +0530] "GET /Hospital_Management_System/assets/doctor_3.jpeg HTTP/1.1" 200 2156893
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:19:00 +0530] "GET /Hospital_Management_System/User.jsp HTTP/1.1" 200 9212
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:19:11 +0530] "POST /Hospital_Management_System/UserLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:19:11 +0530] "GET /Hospital_Management_System/Hospital_Management_System/src/main/webapp/User/navbar.jsp HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:19:17 +0530] "POST /Hospital_Management_System/UserLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:19:17 +0530] "GET /Hospital_Management_System/Hospital_Management_System/src/main/webapp/User/navbar.jsp HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:49 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:49 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:49 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:49 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:50 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:50 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:50 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:50 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:51 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:51 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:51 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:51 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:51 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:52 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:52 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/Aug/2025:03:22:53 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23354
