127.0.0.1 - - [23/Jul/2025:02:42:02 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:03 +0530] "GET /Hospital_Management_System/servlet/com.Admin.servlet.AdminLogout HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:03 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:07 +0530] "GET /Hospital_Management_System HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:10 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23546
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:11 +0530] "GET /Hospital_Management_System/assets/doctor_2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:11 +0530] "GET /Hospital_Management_System/assets/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:11 +0530] "GET /Hospital_Management_System/assets/doctor_1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:11 +0530] "GET /Hospital_Management_System/assets/doctor_3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:11 +0530] "GET /Hospital_Management_System/assets/doctor_4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:14 +0530] "GET /Hospital_Management_System/Admin.jsp HTTP/1.1" 200 6251
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:21 +0530] "POST /Hospital_Management_System/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:22 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 16334
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:33 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 23546
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:42:36 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 23546
0:0:0:0:0:0:0:1 - - [23/Jul/2025:02:44:42 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 16110
