127.0.0.1 - - [24/Aug/2025:02:36:06 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:06 +0530] "GET /Hospital_Management_System/WEB-INF/classes/com/DAO/SpecialistDao.java HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:07 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:10 +0530] "GET /Hospital_Management_System HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:11 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23499
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:12 +0530] "GET /Hospital_Management_System/assets/doctor_1.jpeg HTTP/1.1" 200 2390529
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:12 +0530] "GET /Hospital_Management_System/assets/doctor_3.jpeg HTTP/1.1" 200 2156893
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:12 +0530] "GET /Hospital_Management_System/assets/doctor_4.jpeg HTTP/1.1" 200 1252174
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:12 +0530] "GET /Hospital_Management_System/assets/logo.png HTTP/1.1" 200 1139917
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:12 +0530] "GET /Hospital_Management_System/assets/doctor_2.jpeg HTTP/1.1" 200 1460306
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:15 +0530] "GET /Hospital_Management_System/Admin.jsp HTTP/1.1" 200 8901
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:19 +0530] "GET /Hospital_Management_System/Doctor.jsp HTTP/1.1" 200 8617
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:24 +0530] "GET /Hospital_Management_System/Admin.jsp HTTP/1.1" 200 8901
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:29 +0530] "POST /Hospital_Management_System/adminLogin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:34 +0530] "POST /Hospital_Management_System/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:35 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20401
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:38 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 12037
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:36:51 +0530] "POST /Hospital_Management_System/admin/addDoctor HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:37:59 +0530] "POST /Hospital_Management_System/addSpecialist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:37:59 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20401
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:39:13 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 12037
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:39:30 +0530] "POST /Hospital_Management_System/admin/addDoctor HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:42:46 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:45:40 +0530] "POST /Hospital_Management_System/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:45:40 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20401
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:45:44 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:45:45 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:45:45 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:46:03 +0530] "POST /Hospital_Management_System/addDoctor HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:46:03 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:48:08 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:48:08 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:48:08 +0530] "GET /Hospital_Management_System/Admin.jsp HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:48:15 +0530] "POST /Hospital_Management_System/adminLogin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:48:20 +0530] "POST /Hospital_Management_System/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:48:20 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20401
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:48:23 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:49:08 +0530] "POST /Hospital_Management_System/addDoctor HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:49:08 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:50:45 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:50:47 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:50:47 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [24/Aug/2025:02:50:47 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:33 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 5978
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:42 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2351
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:43 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:43 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:43 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:44 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:44 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:44 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:45 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:45 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:45 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:45 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:46 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:56 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2351
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:04:57 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:05:00 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:05:00 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:05:00 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:05:01 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2351
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:05:01 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [24/Aug/2025:03:05:01 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 500 2923
